desmatamento_pct,poluicao_mgL,dist_area_protegida_km,emissao_co2_ton,risco_socioambiental
48.8,68.6,18.1,1168.2,1
20.0,60.7,4.2,332.3,1
15.9,64.4,5.8,482.7,1
38.6,69.1,10.4,1642.1,1
50.4,85.0,18.0,989.2,1
29.6,12.9,19.7,1635.1,1
68.7,77.5,5.2,114.1,1
47.9,28.1,11.3,1148.0,1
33.7,23.5,16.1,1870.7,1
27.4,59.4,7.9,1206.1,1
24.0,14.1,14.6,491.6,0
51.0,89.1,3.2,1463.7,1
30.7,64.6,12.0,820.1,1
4.2,73.7,17.3,1369.9,1
27.9,6.5,19.7,155.7,0
51.7,61.5,1.6,1308.2,1
12.8,57.9,8.6,161.2,1
12.3,20.1,4.1,1515.1,1
37.2,19.5,9.0,998.5,1
37.2,71.1,11.0,331.3,1
44.4,35.3,1.9,1131.0,1
59.5,70.7,5.9,226.9,1
50.7,57.7,18.6,1341.4,1
42.8,42.0,11.4,1992.6,1
50.6,92.9,9.1,1561.9,1
22.6,85.0,15.1,1190.2,1
25.3,39.0,14.8,295.0,0
16.0,9.1,1.0,1429.7,1
20.6,34.0,14.2,1356.2,1
44.2,42.8,16.8,193.3,1
6.4,72.0,3.3,1605.4,1
30.4,99.6,15.6,1085.6,1
30.2,38.8,5.7,909.1,1
34.6,77.4,6.1,1597.6,1
29.8,61.4,13.3,882.0,1
21.9,70.7,2.2,1013.9,1
29.8,19.4,13.3,445.1,0
62.5,42.9,17.8,710.5,1
66.1,27.9,13.9,1706.5,1
35.1,37.6,8.8,455.1,1
43.7,53.7,8.8,892.9,1
8.1,68.3,15.3,1979.2,1
22.2,15.1,11.3,549.5,0
29.0,17.4,1.7,1842.0,1
60.6,35.6,11.7,1845.0,1
17.5,67.8,16.3,273.5,1
33.8,85.4,6.7,980.9,1
69.0,57.6,18.6,1054.2,1
36.4,86.2,15.0,696.0,1
42.9,41.6,11.5,189.9,1
8.4,35.1,15.0,559.2,0
57.8,38.7,1.6,281.5,1
42.2,21.3,17.2,552.7,1
38.2,83.8,16.4,1634.8,1
24.0,37.2,18.2,1800.5,1
21.3,57.5,2.6,182.1,1
29.2,60.0,1.6,673.7,1
47.7,54.5,2.8,1963.1,1
61.3,5.3,8.0,1125.1,1
35.7,98.9,8.5,1290.0,1
